Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-12-29,The Return,2003,https://boxd.it/1xHSNH,,,,2009-11-23
2020-12-29,Blood Simple,1984,https://boxd.it/1xHSNR,,,,2009-11-23
2020-12-29,American Splendor,2003,https://boxd.it/1xHSO1,,,,2009-11-23
2020-12-29,Barton Fink,1991,https://boxd.it/1xHSOb,,,,2009-11-23
2020-12-29,Elephant,2003,https://boxd.it/1xHSOl,,,,2009-11-23
2020-12-29,"4 Months, 3 Weeks and 2 Days",2007,https://boxd.it/1xHSOv,,,,2009-11-23
2020-12-29,Driving Miss Daisy,1989,https://boxd.it/1xHSOF,,,,2009-11-23
2020-12-29,The Last Emperor,1987,https://boxd.it/1xHSOP,,,,2009-11-23
2020-12-29,The Sea Inside,2004,https://boxd.it/1xHSOZ,,,,2009-11-23
2020-12-29,"Yesterday, Today and Tomorrow",1963,https://boxd.it/1xHSP9,,,,2009-11-23
2020-12-29,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1xHSPj,,,,2009-11-23
2020-12-29,Arabesque,1989,https://boxd.it/1xHSPt,,,,2009-11-23
2020-12-29,The Triplets of Belleville,2003,https://boxd.it/1xHSPD,,,,2009-11-23
2020-12-29,The Double Life of Véronique,1991,https://boxd.it/1xHSPN,,,,2009-11-23
2020-12-29,The Chorus,2004,https://boxd.it/1xHSPX,,,,2009-11-23
2020-12-29,"O Brother, Where Art Thou?",2000,https://boxd.it/1xHSQ7,,,,2009-11-23
2020-12-29,Three Colours: Blue,1993,https://boxd.it/1xHSQh,,,,2009-11-23
2020-12-29,Almost Famous,2000,https://boxd.it/1xHSQr,,,,2009-11-23
2020-12-29,The Big Sleep,1946,https://boxd.it/1xHSQB,,,,2009-11-23
2020-12-29,Baraka,1992,https://boxd.it/1xHSQL,,,,2009-11-23
2020-12-29,Kiki's Delivery Service,1989,https://boxd.it/1xHSRp,,,,2009-11-23
2020-12-29,The Girl Who Leapt Through Time,2006,https://boxd.it/1xHSRz,,,,2009-11-23
2020-12-29,Persepolis,2007,https://boxd.it/1xHSRJ,,,,2009-11-23
2020-12-29,Vanilla Sky,2001,https://boxd.it/1xHSRT,,,,2009-11-23
2020-12-29,Philadelphia,1993,https://boxd.it/1xHSS3,,,,2009-11-23
2020-12-29,The Break-Up,2006,https://boxd.it/1xHSSd,,,,2009-11-23
2020-12-29,Traffic,2000,https://boxd.it/1xHSSn,,,,2009-11-23
2020-12-29,Red Dragon,2002,https://boxd.it/1xHSSx,,,,2009-11-23
2020-12-29,The Others,2001,https://boxd.it/1xHSSH,,,,2009-11-23
2020-12-29,The Bourne Identity,2002,https://boxd.it/1xHSSR,,,,2009-11-23
2020-12-29,The Patriot,2000,https://boxd.it/1xHST1,,,,2009-11-23
2020-12-29,The Terminal,2004,https://boxd.it/1xHSTb,,,,2009-11-23
2020-12-29,Flightplan,2005,https://boxd.it/1xHSTl,,,,2009-11-23
2020-12-29,Interview with the Vampire,1994,https://boxd.it/1xHSTv,,,,2009-11-23
2020-12-29,Space Jam,1996,https://boxd.it/1xHSTF,,,,2009-11-23
2020-12-29,Yes Man,2008,https://boxd.it/1xHSTP,,,,2009-11-23
2020-12-29,Something's Gotta Give,2003,https://boxd.it/1xHSTZ,,,,2009-11-23
2020-12-29,Sleepless in Seattle,1993,https://boxd.it/1xHSU9,,,,2009-11-23
2020-12-29,A.I. Artificial Intelligence,2001,https://boxd.it/1xHSUj,,,,2009-11-23
2020-12-29,Get Smart,2008,https://boxd.it/1xHSUt,,,,2009-11-23
2020-12-29,Bean,1997,https://boxd.it/1xHSUD,,,,2009-11-23
2020-12-29,Howl's Moving Castle,2004,https://boxd.it/1xHSUN,,,,2009-11-23
2020-12-29,Dead Poets Society,1989,https://boxd.it/1xHSUX,,,,2009-11-23
2020-12-29,Die Hard 2,1990,https://boxd.it/1xHSV7,,,,2009-11-23
2020-12-29,Love Actually,2003,https://boxd.it/1xHSVh,,,,2009-11-23
2020-12-29,Face/Off,1997,https://boxd.it/1xHSVL,,,,2009-11-23
2020-12-29,Back to the Future Part III,1990,https://boxd.it/1xHSVV,,,,2009-11-23
2020-12-29,Enemy of the State,1998,https://boxd.it/1xHSW5,,,,2009-11-23
2020-12-29,Dumb and Dumber,1994,https://boxd.it/1xHSWf,,,,2009-11-23
2020-12-29,Unbreakable,2000,https://boxd.it/1xHSWp,,,,2009-11-23
2020-12-29,The Truman Show,1998,https://boxd.it/1xHSWz,,,,2009-11-23
2020-12-29,You've Got Mail,1998,https://boxd.it/1xHSWJ,,,,2009-11-23
2020-12-29,Bridget Jones's Diary,2001,https://boxd.it/1xHSWT,,,,2009-11-23
2020-12-29,Erin Brockovich,2000,https://boxd.it/1xHSXd,,,,2009-11-23
2020-12-29,The Village,2004,https://boxd.it/1xHSXn,,,,2009-11-23
2020-12-29,The Fifth Element,1997,https://boxd.it/1xHSXx,,,,2009-11-23
2020-12-29,Indecent Proposal,1993,https://boxd.it/1xHSXH,,,,2009-11-23
2020-12-29,The Nutty Professor,1996,https://boxd.it/1xHSY1,,,,2009-11-23
2020-12-29,The Bourne Supremacy,2004,https://boxd.it/1xHSYb,,,,2009-11-23
2020-12-29,Wedding Crashers,2005,https://boxd.it/1xHSYl,,,,2009-11-23
2020-12-29,Batman Returns,1992,https://boxd.it/1xHSYv,,,,2009-11-23
2020-12-29,My Best Friend's Wedding,1997,https://boxd.it/1xHSYF,,,,2009-11-23
2020-12-29,Shakespeare in Love,1998,https://boxd.it/1xHSYP,,,,2009-11-23
2020-12-29,X-Men,2000,https://boxd.it/1xHSYZ,,,,2009-11-23
2020-12-29,Meet the Parents,2000,https://boxd.it/1xHSZ9,,,,2009-11-23
2020-12-29,Stuart Little,1999,https://boxd.it/1xHSZj,,,,2009-11-23
2020-12-29,Hook,1991,https://boxd.it/1xHSZt,,,,2009-11-23
2020-12-29,101 Dalmatians,1996,https://boxd.it/1xHSZD,,,,2009-11-23
2020-12-29,Liar Liar,1997,https://boxd.it/1xHSZN,,,,2009-11-23
2020-12-29,Chicago,2002,https://boxd.it/1xHSZX,,,,2009-11-23
