Date,Name,Year,Letterboxd URI,Rating
2021-01-03,Death to 2020,2020,https://boxd.it/t4EQ,1.5
2021-01-03,Crimson Peak,2015,https://boxd.it/62Ty,3
2021-01-03,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/2ac0,3.5
2021-01-04,My Octopus Teacher,2020,https://boxd.it/prk2,3.5
2021-01-04,The Trial of the Chicago 7,2020,https://boxd.it/kn3w,3.5
2021-01-05,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,3
2021-01-06,Concussion,2015,https://boxd.it/aqIs,3
2021-01-07,Unforgiven,1992,https://boxd.it/6Z4,4
2021-01-07,Forrest Gump,1994,https://boxd.it/728,5
2021-01-07,Skyfall,2012,https://boxd.it/17Fc,3.5
2021-01-07,Up,2009,https://boxd.it/1OEc,3.5
2021-01-07,Shutter Island,2010,https://boxd.it/1U82,4
2021-01-07,Beauty and the Beast,1991,https://boxd.it/1XhG,4
2021-01-07,The Lion King,1994,https://boxd.it/201Q,3.5
2021-01-07,In the Name of the Father,1993,https://boxd.it/20I6,4.5
2021-01-07,Toy Story,1995,https://boxd.it/29qA,5
2021-01-07,Se7en,1995,https://boxd.it/29zs,5
2021-01-07,Pulp Fiction,1994,https://boxd.it/29Pq,5
2021-01-07,Casino,1995,https://boxd.it/2ads,4.5
2021-01-07,Reservoir Dogs,1992,https://boxd.it/2agc,4.5
2021-01-07,Schindler's List,1993,https://boxd.it/2aq2,5
2021-01-07,La Haine,1995,https://boxd.it/2as8,4
2021-01-07,Jurassic Park,1993,https://boxd.it/2aA2,4
2021-01-07,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2021-01-07,The Silence of the Lambs,1991,https://boxd.it/2aHW,5
2021-01-07,Braveheart,1995,https://boxd.it/2aTI,4.5
2021-01-07,Groundhog Day,1993,https://boxd.it/2b3e,5
2021-01-07,Three Colours: Red,1994,https://boxd.it/2b7q,5
2021-01-07,Léon: The Professional,1994,https://boxd.it/2b8S,4.5
2021-01-07,Before Sunrise,1995,https://boxd.it/2bcU,5
2021-01-07,Twelve Monkeys,1995,https://boxd.it/2beQ,4
2021-01-07,Heat,1995,https://boxd.it/2bg8,4
2021-01-07,The Dark Knight Rises,2012,https://boxd.it/H3m,4.5
2021-01-07,Incendies,2010,https://boxd.it/Msm,4
2021-01-07,The Truman Show,1998,https://boxd.it/18U8,4.5
2021-01-07,The Bandit,1996,https://boxd.it/1sVq,5
2021-01-07,The Secret in Their Eyes,2009,https://boxd.it/1vWw,5
2021-01-07,3 Idiots,2009,https://boxd.it/1Dsa,4.5
2021-01-07,Gran Torino,2008,https://boxd.it/1Qzy,4
2021-01-07,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,3.5
2021-01-07,L.A. Confidential,1997,https://boxd.it/27oC,4.5
2021-01-07,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,4
2021-01-07,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,3.5
2021-01-07,Saving Private Ryan,1998,https://boxd.it/29ro,4
2021-01-07,In the Mood for Love,2000,https://boxd.it/29tE,4
2021-01-07,Life Is Beautiful,1997,https://boxd.it/29Wm,5
2021-01-07,The Usual Suspects,1995,https://boxd.it/29XE,5
